sep=,
"Time","Status","Heizungspumpe","4-Wege-V","Durchfluss","AT","RT_Soll","VL_Heizen_Soll","VL_WW_Soll","VL_Min","VL","RL","EnergieIntegral","Kälteleistung","Stromv_Anzeige","Stromv_gemessen","PrEnergySumHcMonth","PrEnergyHwcMonth","Energie_Total_Gemessen","YieldHcMonth","YieldHwcMonth","COPHcMonth","COPHwcMonth"
2023-01-01 00:00:00,on,,,807,15.1,,26.6,45,,28.0,25.1,-28,2.47,0.330,0.400,0,0,1051092,1591,166,3.80,2.80
2023-01-01 00:10:00,on,,,858,15.1,,26.6,45,,27.4,25.6,-10,1.37,0.300,0.377,0,0,1051153,0.600,0,6.30,1
2023-01-01 00:20:00,off,,,706,15,,26.6,45,,27.0,25.6,-5,0.670,0.120,0.166,0,0,1051187,0.700,0,6.10,1
2023-01-01 00:30:00,off,,,516,14.8,,26.7,45,,25.7,25.7,-22,0,0,0.0203,0,0,1051191,0.700,0,5.90,1
2023-01-01 00:40:00,off,1,,516,14.8,22,26.7,45,25,25.3,25.3,-44,0,0,0.0204,0,0,1051194,0.700,0,5.80,1
2023-01-01 00:50:00,on,1,off,637,14.8,22,26.7,45,25,27.2,25.1,-50,1.04,0.150,0.198,0,0,1051218,0.900,0,5.90,1
2023-01-01 01:00:00,on,1,off,860,14.8,22,26.7,45,25,28.1,25.3,-14,2.47,0.340,0.397,0,0,1051287,1.30,0,6.40,1
2023-01-01 01:10:00,off,1,off,859,14.7,22,26.8,45,25,27.2,25.7,0,1.05,0.270,0.344,0,0,1051351,1.50,0,5.90,1
2023-01-01 01:20:00,off,1,off,532,14.7,22,26.8,45,25,25.7,25.7,-12,0,0,0.0208,0,0,1051356,1.50,0,5.80,1
2023-01-01 01:30:00,off,1,off,515,14.8,22,26.7,45,25,25.5,25.5,-31,0,0,0.0203,0,0,1051359,1.50,0,5.80,1
2023-01-01 01:40:00,off,1,off,516,14.8,22,26.7,45,25,25.3,25.3,-55,0,0,0.0203,0,0,1051363,1.50,0,5.70,1
2023-01-01 01:50:00,on,1,off,789,14.8,22,26.7,45,25,27.7,25.1,-29,2.25,0.290,0.385,0,0,1051423,1.90,0,6,1
2023-01-01 02:00:00,on,1,off,859,14.8,22,26.7,45,25,27.4,25.6,-10,1.43,0.300,0.375,0,0,1051485,2.10,0,5.90,1
2023-01-01 02:10:00,off,1,off,684,14.7,22,26.8,45,25,27.4,25.6,-6,0.660,0.120,0.159,0,0,1051518,2.20,0,5.80,1
2023-01-01 02:20:00,off,1,off,515,14.7,22,26.8,45,25,25.7,25.7,-21,0,0,0.0203,0,0,1051521,2.20,0,5.80,1
2023-01-01 02:30:00,off,1,off,516,14.7,22,26.8,45,25,25.4,25.4,-42,0,0,0.0203,0,0,1051524,2.20,0,5.70,1
2023-01-01 02:40:00,on,1,off,628,14.7,22,26.8,45,25,26.8,25.1,-53,0.710,0.110,0.184,0,0,1051545,2.30,0,5.70,1
2023-01-01 02:50:00,on,1,off,859,14.7,22,26.8,45,25,28.3,25.4,-14,2.58,0.340,0.404,0,0,1051616,2.80,0,6,1
2023-01-01 03:00:00,off,1,off,844,14.7,22,26.8,45,25,27.1,25.8,-1,0.830,0.240,0.317,0,0,1051677,2.90,0,5.80,1
2023-01-01 03:10:00,off,1,off,523,14.7,22,26.8,45,25,25.8,25.7,-15,0,0,0.0205,0,0,1051680,2.90,0,5.80,1
2023-01-01 03:20:00,off,1,off,516,14.7,22,26.8,45,25,25.6,25.5,-34,0,0,0.0204,0,0,1051683,2.90,0,5.70,1
2023-01-01 03:30:00,off,1,off,515,14.7,22,26.8,45,25,25.3,25.3,-58,0,0,0.0204,0,0,1051687,2.90,0,5.70,1
2023-01-01 03:40:00,on,1,off,814,14.6,22,26.9,45,25,28.0,25.1,-27,2.50,0.330,0.411,0,0,1051751,3.30,0,5.90,1
2023-01-01 03:50:00,on,1,off,859,14.5,22,26.9,45,25,27.4,25.6,-9,1.33,0.300,0.381,0,0,1051813,3.60,0,5.80,1
2023-01-01 04:00:00,off,1,off,676,14.5,22,26.9,45,25,27.4,25.6,-7,0.500,0.0900,0.130,0,0,1051842,3.70,0,5.70,1
2023-01-01 04:10:00,off,1,off,516,14.4,22,27.0,45,25,25.7,25.7,-26,0,0,0.0202,0,0,1051846,3.70,0,5.70,1
2023-01-01 04:20:00,off,1,off,516,14.3,22,27.0,45,25,25.4,25.4,-57,0,0,0.0203,0,0,1051850,3.70,0,5.70,1
2023-01-01 04:30:00,on,1,off,822,14.3,22,27.0,45,25,28.2,25.3,-33,2.52,0.340,0.429,0,0,1051916,4.10,0,5.80,1
2023-01-01 04:40:00,on,1,off,859,14.2,22,27.1,45,25,27.5,25.7,-23,1.33,0.300,0.384,0,0,1051979,4.30,0,5.80,1
2023-01-01 04:50:00,off,1,off,859,14,22,27.1,45,25,28.0,26.0,0,1.74,0.270,0.345,0,0,1052044,4.60,0,5.80,1
2023-01-01 05:00:00,off,1,off,535,13.9,22,27.2,45,25,26.0,26.0,-18,0,0,0.0210,0,0,1052048,4.60,0,5.80,1
2023-01-01 05:10:00,off,1,off,516,13.9,22,27.2,45,25,25.8,25.8,-42,0,0,0.0202,0,0,1052051,4.60,0,5.80,1
2023-01-01 05:20:00,on,1,off,650,13.9,22,27.2,45,25,27.0,25.5,-52,1,0.150,0.199,0,0,1052075,4.80,0,5.80,1
2023-01-01 05:30:00,on,1,off,859,13.7,22,27.3,45,25,28.4,25.6,-21,2.48,0.340,0.414,0,0,1052147,5.20,0,5.90,1
2023-01-01 05:40:00,on,1,off,859,13.6,22,27.3,45,25,27.8,26.0,-9,1.19,0.300,0.400,0,0,1052214,5.40,0,5.80,1
2023-01-01 05:50:00,off,1,off,670,13.6,22,27.3,45,25,27.3,26.1,-10,0.620,0.0900,0.122,0,0,1052240,5.50,0,5.80,1
2023-01-01 06:00:00,off,1,off,517,13.6,22,27.3,45,25,26.0,25.9,-30,0,0,0.0202,0,0,1052244,5.50,0,5.80,1
2023-01-01 06:10:00,off,1,off,515,13.6,22,27.3,45,25,25.7,25.6,-57,0,0,0.0202,0,0,1052247,5.50,0,5.70,1
2023-01-01 06:20:00,on,1,off,829,13.7,22,27.3,45,25,28.1,25.5,-31,2.44,0.330,0.431,0,0,1052315,5.90,0,5.80,1
2023-01-01 06:30:00,on,1,off,860,13.6,22,27.3,45,25,27.5,25.8,-17,1.27,0.300,0.385,0,0,1052378,6.20,0,5.80,1
