sep=,
"Time","Status","Heizungspumpe","4-Wege-V","Durchfluss","AT","RT_Soll","VL_Heizen_Soll","VL_WW_Soll","VL_Min","VL","RL","EnergieIntegral","Kälteleistung","Stromv_Anzeige","Stromv_gemessen","PrEnergySumHcMonth","PrEnergyHwcMonth","Energie_Total_Gemessen","YieldHcMonth","YieldHwcMonth","COPHcMonth","COPHwcMonth"
2022-12-01 00:00:00,,,,859,1.29,,32.6,45,,,,-155,2.90,0.800,0.861,,,414028,1075,,,
2022-12-01 00:01:00,,,,871,1.43,,32.6,45,,,,-155,2.90,0.800,0.858,0,0,414042,1075,,,
2022-12-01 00:02:00,,,,865,1.43,,32.6,45,,,,-155,2.80,0.800,0.857,0,0,414056,1075,,,
2022-12-01 00:03:00,,,,859,1.43,,32.6,45,,,,-155,2.80,0.700,0.856,0,0,414071,1075,,,
2022-12-01 00:04:00,,,,861,1.43,,32.6,45,,,,-155,2.90,0.800,0.857,0,0,414085,1075,,,
2022-12-01 00:05:00,,,,858,1.43,,32.6,45,,,,-155,2.80,0.800,0.856,0,0,414099,1075,,,
2022-12-01 00:06:00,,,,859,1.43,,32.6,45,,,,-155,2.80,0.700,0.855,0,0,414114,1075,,,
2022-12-01 00:07:00,,,,859,1.43,,32.6,45,,,,-155,2.90,0.700,0.856,0,0,414128,1075,,,
2022-12-01 00:08:00,,,,855,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.857,0,0,414142,1075,,,
2022-12-01 00:09:00,,,,859,1.43,,32.6,45,,32.4,,-155,2.80,0.800,0.857,0,0,414156,1075,144,4.60,3.10
2022-12-01 00:10:00,,,,862,1.43,,32.6,45,,32.4,,-155,2.80,0.800,0.859,0,0,414171,0.400,0,4.50,1
2022-12-01 00:11:00,,,,862,1.43,,32.6,45,,32.4,,-155,2.80,0.800,0.862,0,0,414185,0.500,0,4.50,1
2022-12-01 00:12:00,,,,858,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.862,0,0,414199,0.500,0,4.40,1
2022-12-01 00:13:00,,,,855,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.862,0,0,414214,0.600,0,4.50,1
2022-12-01 00:14:00,,,,861,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.863,0,0,414228,0.600,0,4.50,1
2022-12-01 00:15:00,,,,858,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.865,0,0,414242,0.700,0,4.40,1
2022-12-01 00:16:00,,,,861,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.863,0,0,414257,0.700,0,4.40,1
2022-12-01 00:17:00,,,,858,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.863,0,0,414271,0.800,0,4.50,1
2022-12-01 00:18:00,,,,850,1.43,,32.6,45,,32.5,,-155,2.80,0.800,0.864,0,0,414286,0.800,0,4.40,1
2022-12-01 00:19:00,,,,853,1.43,,32.6,45,,32.5,28.8,-155,2.80,0.800,0.861,0,0,414300,0.900,0,4.50,1
2022-12-01 00:20:00,,,off,860,1.43,,32.6,45,,32.5,28.9,-155,2.80,0.800,0.860,0,0,414314,0.900,0,4.50,1
2022-12-01 00:21:00,,,off,860,1.43,,32.6,45,,32.6,28.9,-155,2.80,0.800,0.857,0,0,414329,1,0,4.40,1
2022-12-01 00:22:00,,,off,859,1.43,,32.6,45,,32.6,29,-154,2.80,0.800,0.853,0,0,414343,1,0,4.50,1
2022-12-01 00:23:00,,,off,844,1.43,,32.6,45,,32.7,29,-154,2.80,0.700,0.845,0,0,414357,1.10,0,4.40,1
2022-12-01 00:24:00,,1,off,857,1.43,,32.6,45,,32.6,29.1,-154,2.80,0.700,0.837,0,0,414371,1.10,0,4.50,1
2022-12-01 00:25:00,,1,off,860,1.43,,32.6,45,25,32.7,29.1,-153,2.80,0.700,0.828,0,0,414385,1.20,0,4.40,1
2022-12-01 00:26:00,,1,off,861,1.43,,32.6,45,25,32.7,29.2,-153,2.70,0.700,0.820,0,0,414399,1.20,0,4.40,1
2022-12-01 00:27:00,,1,off,861,1.43,,32.6,45,25,32.7,29.3,-152,2.70,0.700,0.811,0,0,414413,1.20,0,4.40,1
2022-12-01 00:28:00,,1,off,861,1.43,,32.6,45,25,32.7,29.3,-152,2.70,0.700,0.805,0,0,414426,1.30,0,4.40,1
2022-12-01 00:29:00,,1,off,858,1.43,22,32.6,45,25,32.7,29.4,-151,2.60,0.700,0.796,0,0,414439,1.30,0,4.40,1
2022-12-01 00:30:00,,1,off,861,1.43,22,32.6,45,25,32.7,29.5,-151,2.50,0.700,0.786,0,0,414453,1.40,0,4.40,1
2022-12-01 00:31:00,,1,off,859,1.43,22,32.6,45,25,32.7,29.5,-150,2.50,0.700,0.778,0,0,414466,1.40,0,4.40,1
2022-12-01 00:32:00,,1,off,861,1.43,22,32.6,45,25,32.7,29.5,-149,2.50,0.700,0.767,0,0,414479,1.50,0,4.40,1
2022-12-01 00:33:00,,1,off,867,1.43,22,32.6,45,25,32.7,29.6,-149,2.50,0.700,0.759,0,0,414491,1.50,0,4.40,1
