# This file contains the energy consumption and yields of your device "aroTHERM plus" with serial xxx exported at 2022-12-22.
# All values are given in Watt hours (Wh)
DateTime;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater
2022-01-01 00:00:00;0;0;0;0;0;0
2022-01-02 00:00:00;0;0;0;0;0;0
2022-01-03 00:00:00;0;0;0;0;0;0
2022-01-04 00:00:00;0;0;0;0;0;0
2022-01-05 00:00:00;0;0;0;0;0;0
2022-01-06 00:00:00;0;0;0;0;0;0
2022-01-07 00:00:00;0;0;0;0;0;0
2022-01-08 00:00:00;0;0;0;0;0;0
2022-01-09 00:00:00;0;0;0;0;0;0
2022-01-10 00:00:00;0;0;0;0;0;0
2022-01-11 00:00:00;0;0;0;0;0;0
2022-01-12 00:00:00;0;0;0;0;0;0
2022-01-13 00:00:00;0;0;0;0;0;0
2022-01-14 00:00:00;0;0;0;0;0;0
2022-01-15 00:00:00;0;0;0;0;0;0
2022-01-16 00:00:00;0;0;0;0;0;0
2022-01-17 00:00:00;0;0;0;0;0;0
2022-01-18 00:00:00;0;0;0;0;0;0
2022-01-19 00:00:00;0;0;0;0;0;0
2022-01-20 00:00:00;0;0;0;0;0;0
2022-01-21 00:00:00;0;0;0;0;0;0
2022-01-22 00:00:00;0;0;0;0;0;0
2022-01-23 00:00:00;0;0;0;0;0;0
2022-01-24 00:00:00;0;0;0;0;0;0
2022-01-25 00:00:00;0;0;0;0;0;0
2022-01-26 00:00:00;0;0;0;0;0;0
2022-01-27 00:00:00;0;0;0;0;0;0
2022-01-28 00:00:00;0;0;0;0;0;0
2022-01-29 00:00:00;0;0;0;0;0;0
2022-01-30 00:00:00;0;0;0;0;0;0
2022-01-31 00:00:00;0;0;0;0;0;0
2022-02-01 00:00:00;0;0;0;0;0;0
2022-02-02 00:00:00;0;0;0;0;0;0
2022-02-03 00:00:00;0;0;0;0;0;0
2022-02-04 00:00:00;0;0;0;0;0;0
2022-02-05 00:00:00;0;0;0;0;0;0
2022-02-06 00:00:00;0;0;0;0;0;0
2022-02-07 00:00:00;0;0;0;0;0;0
2022-02-08 00:00:00;0;0;0;0;0;0
2022-02-09 00:00:00;0;0;0;0;0;0
2022-02-10 00:00:00;0;0;0;0;0;0
2022-02-11 00:00:00;0;0;0;0;0;0
2022-02-12 00:00:00;0;0;0;0;0;0
2022-02-13 00:00:00;0;0;0;0;0;0
2022-02-14 00:00:00;0;0;0;0;0;0
2022-02-15 00:00:00;0;0;0;0;0;0
2022-02-16 00:00:00;0;0;0;0;0;0
2022-02-17 00:00:00;0;0;0;0;0;0
2022-02-18 00:00:00;0;0;0;0;0;0
2022-02-19 00:00:00;0;0;0;0;0;0
2022-02-20 00:00:00;0;0;0;0;0;0
2022-02-21 00:00:00;0;0;0;0;0;0
2022-02-22 00:00:00;0;0;0;0;0;0
2022-02-23 00:00:00;0;0;0;0;0;0
2022-02-24 00:00:00;0;0;0;0;0;0
2022-02-25 00:00:00;0;0;0;0;0;0
2022-02-26 00:00:00;0;0;0;0;0;0
2022-02-27 00:00:00;0;0;0;0;0;0
2022-02-28 00:00:00;0;0;0;0;0;0
2022-03-01 00:00:00;0;0;0;0;0;0
2022-03-02 00:00:00;0;0;0;0;0;0
2022-03-03 00:00:00;0;0;0;0;0;0
2022-03-04 00:00:00;0;0;0;0;0;0
2022-03-05 00:00:00;0;0;0;0;0;0
2022-03-06 00:00:00;0;0;0;0;0;0
2022-03-07 00:00:00;0;0;0;0;0;0
2022-03-08 00:00:00;0;0;0;0;0;0
